Uncertainty           , Type  , ttH   , ttbar , ttbarPlusBBbar , ttbarPlusCCbar , singlet , wjets , zjets , ttbarW , ttbarZ , diboson
lumi                  , lnN   , x     , x     , x              , x              , x       , x     , x     , x      , x      , x
QCDscale_ttH          , lnN   , 1.125 , -     , -              , -              , -       , -     , -     , -      , -      , -
QCDscale_ttbar        , lnN   , -     , 1.12  , 1.12           , 1.12           , 1.02    , -     , -     , 1.15   , 1.15   , -
pdf_gg                , lnN   , 1.08  , 1.09  , 1.09           , 1.09           , -       , -     , -     , -      , 1.09   , -
pdf_qqbar             , lnN   , -     , -     , -              , -              , -       , 1.048 , 1.042 , 1.07   , -      , -
pdf_qg                , lnN   , -     , -     , -              , -              , 1.046   , -     , -     , -      , -      , -
QCDscale_V            , lnN   , -     , -     , -              , -              , -       , 1.013 , 1.012 , -      , -      , -
QCDscale_VV           , lnN   , -     , -     , -              , -              , -       , -     , -     , -      , -      , 1.035
CMS_ttH_pu            , lnN   , 1.01  , 1.01  , 1.01           , 1.01           , 1.01    , 1.01  , 1.01  , 1.01   , 1.01   , 1.01
CMS_res_j             , lnN   , 1.015 , 1.015 , 1.015          , 1.015          , 1.015   , 1.015 , 1.015 , 1.015  , 1.015  , 1.015
CMS_ttH_eff_lep       , lnN   , x     , x     , x              , x              , x       , x     , x     , x      , x      , x
Q2scale_ttH_ttbar0p   , shape , -     , 1     , -              , -              , -       , -     , -     , -      , -      , -
Q2scale_ttH_ttbar1p   , shape , -     , 1     , -              , -              , -       , -     , -     , -      , -      , -
Q2scale_ttH_ttbar2p   , shape , -     , 1     , -              , -              , -       , -     , -     , -      , -      , -
Q2scale_ttH_ttbar_bb  , shape , -     , -     , 1              , -              , -       , -     , -     , -      , -      , -
Q2scale_ttH_ttbar_cc  , shape , -     , -     , -              , 1              , -       , -     , -     , -      , -      , -
Q2scale_ttH_V         , lnN   , -     , -     , -              , -              , -       , -     , -     , -      , -      , -
CMS_fake_bRate        , shape , 1     , 1     , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_eff_bRate         , shape , 1     , 1     , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_scale_j           , shape , 1     , 1     , 1              , 1              , 1       , -     , 1     , 1      , 1      , 1
CMS_ttH_topPtcorr     , shape , 1     , 1     , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_QCDscale_ttbb , lnN   , -     , -     , x              , -              , -       , -     , -     , -      , -      , -
TES                   , shape , 1     , 1     , -              , -              , 1       , 1     , 1     , -      , -      , 1
jetTauFake            , shape , 1     , 1     , -              , -              , 1       , 1     , 1     , -      , -      , 1
eTauFake              , shape , 1     , 1     , -              , -              , 1       , 1     , 1     , -      , -      , 1
tauIdEff              , shape , 1     , 1     , -              , -              , 1       , 1     , 1     , -      , -      , 1
qSquared              , shape , 1     , 1     , -              , -              , 1       , 1     , 1     , -      , -      , 1
